page_title,gt_lat,gt_lon,gt_type,cl_to
Philadelphia_30th_Street_Station,39.9558,-75.1824,landmark,Wikipedia:Exzellent
Aarau,47.3944,8.045,city,Wikipedia:Exzellent
Ahmose-Pyramide,26.1757,31.9378,landmark,Wikipedia:Exzellent
Akrotiri_(Santorin),36.3514,25.4036,landmark,Wikipedia:Exzellent
Kastell_Ala_Nova,48.1439,16.4699,landmark,Wikipedia:Exzellent
Åland,60.2507,20.3741,isle,Wikipedia:Exzellent
Albertstadt,51.08,13.7575,city,Wikipedia:Exzellent
Albulabahn,46.6753,9.68215,landmark,Wikipedia:Exzellent
Alexander_L._Kielland_(Bohrinsel),56.4648,3.10446,landmark,Wikipedia:Exzellent
Alexanderplatz,52.5219,13.4131,landmark,Wikipedia:Exzellent
Altaussee,47.6333,13.7667,city,Wikipedia:Exzellent
Alte_Brücke_(Frankfurt_am_Main),50.1084,8.68773,landmark,Wikipedia:Exzellent
Alte_Brücke_(Heidelberg),49.4143,8.70955,landmark,Wikipedia:Exzellent
Alte_Synagoge_(Heilbronn),49.14,9.22181,landmark,Wikipedia:Exzellent
Alter_Friedhof_Bonn,50.7358,7.09028,landmark,Wikipedia:Exzellent
Altes_Stadthaus_(Berlin),52.5164,13.4108,landmark,Wikipedia:Exzellent
Amendingen,48.005,10.1792,city,Wikipedia:Exzellent
Amper,47.57,11.0514,waterbody,Wikipedia:Exzellent
Angkor,13.4333,103.833,landmark,Wikipedia:Exzellent
Angriff_auf_Pearl_Harbor,21.3667,-157.95,waterbody,Wikipedia:Exzellent
Apolda,51.0228,11.5128,city,Wikipedia:Exzellent
Apollo_8,8.1,-165.0,landmark,Wikipedia:Exzellent
Apulische_Bildervasen_für_eine_Totenfeier_(Antikensammlung_Berlin),52.5194,13.3983,landmark,Wikipedia:Exzellent
Arbat,55.7511,37.5961,landmark,Wikipedia:Exzellent
Arbon,47.5167,9.43334,city,Wikipedia:Exzellent
Archäologische_Stätten_von_Agrigent,37.2897,13.59,landmark,Wikipedia:Exzellent
Argentinien,-34.6,-58.38,country,Wikipedia:Exzellent
Arminia_Bielefeld,52.0311,8.51694,landmark,Wikipedia:Exzellent
Armory_Show,40.7412,-73.9835,landmark,Wikipedia:Exzellent
Aubing,48.1569,11.4144,city,Wikipedia:Exzellent
Augsburg,48.372,10.901,landmark,Wikipedia:Exzellent
Augusta_Treverorum,49.7597,6.64402,city,Wikipedia:Exzellent
Australien,-25.0,135.0,country,Wikipedia:Exzellent
Babisnauer_Pappel,50.9742,13.7497,landmark,Wikipedia:Exzellent
Bad_Kleinkirchheim,46.8135,13.7928,city,Wikipedia:Exzellent
Baden_AG,47.4736,8.30417,city,Wikipedia:Exzellent
Bahnhof_Görlitz,51.1472,14.9792,landmark,Wikipedia:Exzellent
Bahnhof_Leutkirch,47.8264,10.0164,landmark,Wikipedia:Exzellent
Bahretal,50.8767,13.8914,city,Wikipedia:Exzellent
Bäke_(Telte),52.3952,13.2063,waterbody,Wikipedia:Exzellent
Baptisterium_San_Giovanni,43.7733,11.2547,landmark,Wikipedia:Exzellent
Basler_Münster,47.5564,7.5925,landmark,Wikipedia:Exzellent
