page_title,gt_lat,gt_lon,gt_type,cl_to
Tropical_Depression_Ten_(2007),28.84,-81.68,,Featured_articles
1740_Batavia_massacre,-6.13083,106.799,event,Featured_articles
1930_FIFA_World_Cup,-34.8946,-56.1528,landmark,Featured_articles
1949_Ambato_earthquake,-1.5,-78.2,,Featured_articles
1964_Brinks_Hotel_bombing,10.7694,106.682,event,Featured_articles
1968_Illinois_earthquake,37.95,-88.48,event,Featured_articles
1980_eruption_of_Mount_St._Helens,46.2003,-122.187,event,Featured_articles
Earth-grazing_meteoroid_of_13_October_1990,49.05,17.65,,Featured_articles
1991_Perfect_Storm,41.1,-66.6,,Featured_articles
1995_Japanese_Grand_Prix,34.8431,136.541,event,Featured_articles
1997_Qayen_earthquake,33.82,59.8,event,Featured_articles
1999_Sydney_hailstorm,-33.8672,151.208,event,Featured_articles
2002_Bou'in-Zahra_earthquake,35.626,49.047,event,Featured_articles
2005_Qeshm_earthquake,26.839,55.93,event,Featured_articles
2005_United_States_Grand_Prix,39.795,-86.2347,,Featured_articles
2006_Westchester_County_tornado,41.122,-73.7949,,Featured_articles
2007_United_States_Air_Force_nuclear_weapons_incident,48.4181,-101.345,,Featured_articles
2007–2008_Nazko_earthquakes,52.88,-124.08,,Featured_articles
2008_Brazilian_Grand_Prix,-23.7036,-46.6997,,Featured_articles
2008_Hungarian_Grand_Prix,47.5789,19.2486,,Featured_articles
2008_Japanese_Grand_Prix,35.3717,138.927,event,Featured_articles
2008_Monaco_Grand_Prix,43.7346,7.42133,landmark,Featured_articles
2013_Rosario_gas_explosion,-32.9369,-60.651,,Featured_articles
7_World_Trade_Center,40.7133,-74.012,landmark,Featured_articles
Acra_(fortress),31.7757,35.2363,landmark,Featured_articles
Action_of_1_August_1801,32.8762,13.1875,,Featured_articles
Action_of_13_January_1797,47.9414,-4.45444,event,Featured_articles
Actions_along_the_Matanikau,-9.41056,160.349,landmark,Featured_articles
Admiralty_Islands_campaign,-2.03333,147.275,event,Featured_articles
Aggie_Bonfire,30.6227,-96.3352,landmark,Featured_articles
Air_Rhodesia_Flight_825,-16.7833,29.0833,event,Featured_articles
Japanese_aircraft_carrier_Akagi,30.5,-178.667,,Featured_articles
Muhammad_al-Durrah_incident,31.4651,34.4267,landmark,Featured_articles
Battle_of_the_Alamo,29.4256,-98.4861,event,Featured_articles
Alanya,36.55,32.0,city,Featured_articles
"Albert_Bridge,_London",51.4823,-0.1667,landmark,Featured_articles
Battle_of_Albuera,38.7167,-6.81667,event,Featured_articles
Aldwych_tube_station,51.5121,-0.11595,railwaystation,Featured_articles
Aliso_Creek_(Orange_County),33.7028,-117.622,river,Featured_articles
Altrincham,53.3839,-2.35472,city,Featured_articles
Amador_Valley_High_School,37.6689,-121.874,edu,Featured_articles
Ambohimanga,-18.75,47.55,landmark,Featured_articles
Amchitka,51.5422,178.983,landmark,Featured_articles
Sack_of_Amorium,39.0204,31.2891,landmark,Featured_articles
Amundsen's_South_Pole_expedition,69.119,-105.02,,Featured_articles
Anfield,53.4308,-2.96085,landmark,Featured_articles
Angkor_Wat,13.4125,103.867,landmark,Featured_articles
"Ann_Arbor,_Michigan",42.223,-83.7457,,Featured_articles
Mary_Anning,50.7255,-2.9317,,Featured_articles
Antarctica,-69.3578,-2.24722,,Featured_articles
Apollo_8,8.13333,-165.017,event,Featured_articles
USS_Arizona_(BB-39),21.3648,-157.95,landmark,Featured_articles
HMS_Ark_Royal_(91),36.05,-4.75,,Featured_articles
Armero_tragedy,4.96342,-74.9054,city,Featured_articles
Battle_of_Arras_(1917),50.2897,2.78083,event,Featured_articles
Japanese_battleship_Asahi,11.3667,109.017,waterbody,Featured_articles
Ashton-under-Lyne,53.4939,-2.10306,city,Featured_articles
Assassination_of_Robert_F._Kennedy,34.0597,-118.297,event,Featured_articles
Battle_of_Austerlitz,49.1333,16.7667,event,Featured_articles
Australia,-35.308,149.124,city,Featured_articles
HMAS_Australia_(1911),-33.8903,151.768,,Featured_articles
The_Avery_Coonley_School,41.788,-88.02,edu,Featured_articles
Axis_naval_activity_in_Australian_waters,-15.1378,125.386,,Featured_articles
Cerro_Azul_(Chile_volcano),-35.6533,-70.7608,mountain,Featured_articles
Museum_of_Bad_Art,42.248,-71.173,landmark,Featured_articles
SMS_Baden,49.8283,-2.38917,landmark,Featured_articles
Baden-Powell_House,51.4955,-0.1795,landmark,Featured_articles
BAE_Systems,51.2736,-0.766667,landmark,Featured_articles
Ivan_Bagramyan,40.1933,44.3686,,Featured_articles
Brazilian_cruiser_Bahia,0.0,-30.0,,Featured_articles
Congregation_Baith_Israel_Anshei_Emes,40.6856,-73.9952,landmark,Featured_articles
Balch_Creek,45.5428,-122.76,river,Featured_articles
Baltimore_City_College,39.3257,-76.5973,edu,Featured_articles
Banff_National_Park,51.1917,-115.558,airport,Featured_articles
Banksia_cuneata,-31.9833,117.5,,Featured_articles
Battle_of_Bardia,31.7667,25.1,,Featured_articles
Battle_of_Barrosa,36.3719,-6.1765,event,Featured_articles
"Bath,_Somerset",51.38,-2.36,city,Featured_articles
Battersea_Bridge,51.4811,-0.1725,landmark,Featured_articles
Battle_of_Arawe,-6.16667,149.017,,Featured_articles
Battle_of_Barnet,51.6622,-0.2,event,Featured_articles
Battle_of_Bosworth_Field,52.5911,-1.41028,event,Featured_articles
Battle_of_Concepción,29.3906,-98.4903,,Featured_articles
Battle_of_Dyrrhachium_(1081),41.3,19.5,event,Featured_articles
Battle_of_Edson's_Ridge,-9.42917,160.051,airport,Featured_articles
Battle_of_Goliad,28.6467,-97.3817,,Featured_articles
Battle_of_Gonzales,29.5089,-97.4478,,Featured_articles
Battle_of_Khafji,28.4167,48.5,event,Featured_articles
Battle_of_Red_Cliffs,29.8697,113.62,event,Featured_articles
Battle_of_Tassafaronga,-9.2,159.833,event,Featured_articles
Battle_of_The_Cedars,45.3099,-74.0353,city,Featured_articles
Battle_of_the_Eastern_Solomons,-9.28333,160.033,event,Featured_articles
Battle_of_the_Nile,31.3333,30.1167,event,Featured_articles
Battle_of_the_Santa_Cruz_Islands,-8.53333,167.283,event,Featured_articles
Battle_of_Ticonderoga_(1759),43.8414,-73.3881,,Featured_articles
Battle_of_Tory_Island,55.3,-8.5,,Featured_articles
Battle_of_Tulagi_and_Gavutu–Tanambogo,-9.10722,160.149,landmark,Featured_articles
Battle_of_Verrières_Ridge,49.1104,-0.33236,event,Featured_articles
Belarus,53.9167,27.55,city,Featured_articles
Belgrade,44.8167,20.4667,city,Featured_articles
Belle_Vue_Zoological_Gardens,53.4636,-2.1875,landmark,Featured_articles
Belton_House,52.9431,-0.6178,landmark,Featured_articles
Ramón_Emeterio_Betances,48.8758,2.34164,landmark,Featured_articles
Congregation_Beth_Elohim,40.6711,-73.9742,landmark,Featured_articles
Beth_Hamedrash_Hagodol,40.7171,-73.9877,landmark,Featured_articles
Battle_of_Bicocca,45.518,9.21,event,Featured_articles
Big_Butte_Creek,42.5583,-122.577,river,Featured_articles
Birchington-on-Sea,51.3769,1.305,city,Featured_articles
Biscayne_National_Park,25.4694,-80.1861,landmark,Featured_articles
German_battleship_Bismarck,48.1667,-16.2,,Featured_articles
Battle_of_the_Bismarck_Sea,-7.25,148.25,,Featured_articles
Black_Friday_(1945),61.4667,5.65,waterbody,Featured_articles
1994_Black_Hawk_shootdown_incident,36.7667,44.0833,event,Featured_articles
Black_Moshannon_State_Park,40.8983,-78.0564,landmark,Featured_articles
Blackwater_fire_of_1937,44.4119,-109.742,,Featured_articles
Blakeney_Point,52.9772,0.9778,landmark,Featured_articles
Battle_of_Blenheim,48.6333,10.6333,event,Featured_articles
Blockhaus_d'Éperlecques,50.8287,2.18367,landmark,Featured_articles
SMS_Blücher,54.5583,5.46389,landmark,Featured_articles
"Blyth,_Northumberland",55.1261,-1.51389,city,Featured_articles
Bodiam_Castle,51.0023,0.543505,landmark,Featured_articles
Boeing_777,6.92083,103.579,landmark,Featured_articles
Bombing_of_Singapore_(1944–45),1.3667,103.8,,Featured_articles
Daniel_Boone,38.1937,-84.8661,landmark,Featured_articles
Borobudur,-7.608,110.204,landmark,Featured_articles
Boston,42.3581,-71.0636,city,Featured_articles
1689_Boston_revolt,42.3583,-71.0597,,Featured_articles
Boydell_Shakespeare_Gallery,51.5057,-0.136667,landmark,Featured_articles
BP_Pedestrian_Bridge,41.8828,-87.6206,landmark,Featured_articles
Bramall_Hall,53.3741,-2.16653,landmark,Featured_articles
Bramshill_House,51.3317,-0.911667,landmark,Featured_articles
Operation_Brevity,31.5808,25.0522,landmark,Featured_articles
"Briarcliff_Manor,_New_York",41.1567,-73.8461,city,Featured_articles
Brill_railway_station,51.8323,-1.0482,railwaystation,Featured_articles
Brill_Tramway,51.864,-0.931117,,Featured_articles
British_anti-invasion_preparations_of_the_Second_World_War,54.0037,-2.54786,landmark,Featured_articles
1982_British_Army_Gazelle_friendly_fire_incident,-51.7836,-58.4678,landmark,Featured_articles
Broad_Ripple_Park_Carousel,39.8108,-86.1571,landmark,Featured_articles
1940_Brocklesby_mid-air_collision,-36.8,146.683,event,Featured_articles
Brougham_Castle,54.654,-2.7191,landmark,Featured_articles
Brown_Dog_affair,51.4807,-0.162269,landmark,Featured_articles
Jesse_L._Brown,40.6,127.1,,Featured_articles
Brownhills,52.647,-1.933,city,Featured_articles
Bruce_Castle,51.599,-0.075354,landmark,Featured_articles
Bryce_Canyon_National_Park,37.6283,-112.168,landmark,Featured_articles
Buckingham_Palace,51.5008,-0.141944,landmark,Featured_articles
Buildings_and_architecture_of_Bristol,51.45,-2.58333,landmark,Featured_articles
Bull_Run_River_(Oregon),45.4358,-121.811,river,Featured_articles
Burning_of_Parliament,51.4993,-0.12475,event,Featured_articles
Byzantine_Empire,41.0,28.9667,city,Featured_articles
Raid_at_Cabanatuan,15.5094,121.044,landmark,Featured_articles
Calabozos,-35.5583,-70.4964,mountain,Featured_articles
Calgary_Stampede,51.0336,-114.054,landmark,Featured_articles
California_Gold_Rush,38.8025,-120.895,,Featured_articles
"University_of_California,_Riverside",33.9756,-117.331,edu,Featured_articles
Cameroon,3.86667,11.5167,city,Featured_articles
Canada,45.4,-75.6667,city,Featured_articles
Canberra,-35.3075,149.124,city,Featured_articles
Battle_of_Cannae,41.3064,16.1325,event,Featured_articles
Canoe_River_train_crash,52.7333,-119.267,event,Featured_articles
Battle_of_Cape_Esperance,-9.25,159.7,landmark,Featured_articles
Capon_Chapel,39.27,-78.4442,landmark,Featured_articles
Captain_Scarlet_and_the_Mysterons,51.5244,-0.625,landmark,Featured_articles
Carabane,12.5378,-16.7008,city,Featured_articles
HMS_Cardiff_(D108),-51.7836,-58.4678,,Featured_articles
Carlson's_patrol,-9.43509,159.951,,Featured_articles
Caroline_Island,-66.05,135.883,,Featured_articles
Carrington_Moss,53.4206,-2.38778,city,Featured_articles
Carrow_Road,52.6221,1.30865,landmark,Featured_articles
Castell_Coch,51.5354,-3.2536,landmark,Featured_articles
Cathedral_of_the_Immaculate_Conception_(Moscow),55.7673,37.5718,,Featured_articles
The_Catlins,-46.5,169.5,,Featured_articles
"Caversham,_New_Zealand",-45.9,170.483,city,Featured_articles
AHS_Centaur,-27.05,154.2,event,Featured_articles
CenturyLink_Field,47.5952,-122.332,landmark,Featured_articles
Battle_of_Ceresole,44.8,7.81667,event,Featured_articles
Chaco_Culture_National_Historical_Park,36.06,-107.97,,Featured_articles
Chad,12.1,16.0333,city,Featured_articles
Chadderton,53.5461,-2.1425,city,Featured_articles
Blakeney_Chapel,52.9656,1.042,landmark,Featured_articles
Operation_Charnwood,49.1831,-0.369444,city,Featured_articles
Chat_Moss,53.4628,-2.43167,city,Featured_articles
Cheadle_Hulme,53.376,-2.188,,Featured_articles
Chelsea_Bridge,51.4847,-0.15,landmark,Featured_articles
Cherry_Springs_State_Park,41.6628,-77.8231,landmark,Featured_articles
Chetco_River,42.1297,-123.878,river,Featured_articles
Chetro_Ketl,36.06,-107.95,,Featured_articles
"Chetwynd,_British_Columbia",55.6972,-121.633,city,Featured_articles
Chew_Stoke,51.3507,-2.6383,city,Featured_articles
Chew_Valley,51.3374,-2.6152,city,Featured_articles
Chew_Valley_Lake,51.3347,-2.61803,waterbody,Featured_articles
Chicago_Board_of_Trade_Building,41.8781,-87.6322,landmark,Featured_articles
Chicxulub_crater,21.4,-89.5167,landmark,Featured_articles
City_of_Manchester_Stadium,53.4831,-2.20028,,Featured_articles
Clackline_Bridge,-31.7206,116.522,landmark,Featured_articles
Clemuel_Ricketts_Mansion,41.3522,-76.3206,landmark,Featured_articles
Cleomenean_War,37.3497,22.3522,,Featured_articles
