page_title,gt_lat,gt_lon,gt_type,cl_to
Francia,47.0,2.0,country,Wikipedia:Artículos_buenos
Unión_Europea,50.8333,4.35,,Wikipedia:Artículos_buenos
Oviedo,43.3625,-5.85028,city,Wikipedia:Artículos_buenos
Varsovia,52.2167,21.0333,city,Wikipedia:Artículos_buenos
Valencia,39.505,-0.383611,,Wikipedia:Artículos_buenos
Lieja,50.65,5.56667,city,Wikipedia:Artículos_buenos
Río_Misisipi,47.2181,-95.2072,waterbody,Wikipedia:Artículos_buenos
Provincia_de_Entre_Ríos,-32.0477,-60.281,,Wikipedia:Artículos_buenos
Buenos_Aires,-34.5997,-58.3819,city,Wikipedia:Artículos_buenos
Londres,51.5072,-0.1275,city,Wikipedia:Artículos_buenos
Parque_regional_de_la_Cuenca_Alta_del_Manzanares,40.7,-3.8,landmark,Wikipedia:Artículos_buenos
Malí,12.6507,-8.00079,city,Wikipedia:Artículos_buenos
Problema_de_los_puentes_de_Königsberg,54.7033,20.5156,,Wikipedia:Artículos_buenos
Yucatán,20.8333,-89.0,city,Wikipedia:Artículos_buenos
Atlanta,33.7569,-84.3903,city,Wikipedia:Artículos_buenos
Casa_Milà,41.3953,2.16167,landmark,Wikipedia:Artículos_buenos
Parque_natural_de_la_Albufera,39.3317,-0.352222,landmark,Wikipedia:Artículos_buenos
Catedral_de_Santiago_de_Compostela,42.8806,-8.54389,landmark,Wikipedia:Artículos_buenos
Cueva_de_Altamira,43.3825,-4.11611,landmark,Wikipedia:Artículos_buenos
Provincia_de_Buenos_Aires,-33.6958,-60.9972,,Wikipedia:Artículos_buenos
Casa_Botines,42.5983,-5.57056,landmark,Wikipedia:Artículos_buenos
Rancagua,-34.1667,-70.75,city,Wikipedia:Artículos_buenos
República_Popular_China,31.1667,121.467,,Wikipedia:Artículos_buenos
Toledo,39.8694,-4.02833,,Wikipedia:Artículos_buenos
Parque_Güell,41.4136,2.15278,landmark,Wikipedia:Artículos_buenos
Casa_Batlló,41.3917,2.165,landmark,Wikipedia:Artículos_buenos
Palacio_Güell,41.3789,2.17386,landmark,Wikipedia:Artículos_buenos
Antequera,37.0184,-4.55966,city,Wikipedia:Artículos_buenos
Benalmádena,36.5969,-4.5535,city,Wikipedia:Artículos_buenos
Tarifa,36.0167,-5.6,city,Wikipedia:Artículos_buenos
Nauru,-0.5322,166.933,landmark,Wikipedia:Artículos_buenos
