page_title,gt_lat,gt_lon,gt_type,cl_to
Chili,-18.33,-70.33,,Article_de_qualité
Côte_d'Ivoire,6.85,-5.3,,Article_de_qualité
Créteil,48.7911,2.46278,city,Article_de_qualité
Festival_de_Cannes,43.5509,7.01725,landmark,Article_de_qualité
Indonésie,-6.16806,106.819,,Article_de_qualité
Isis,31.0277,31.2895,,Article_de_qualité
Strasbourg,48.5734,7.75235,city,Article_de_qualité
San_Francisco,37.7791,-122.416,,Article_de_qualité
Texas,31.0,-100.0,adm1st,Article_de_qualité
Tunisie,36.817,10.183,,Article_de_qualité
Pétra,30.325,35.447,city,Article_de_qualité
Mississippi_(fleuve),47.2397,-95.2075,landmark,Article_de_qualité
Canal_du_Midi,43.611,1.41861,landmark,Article_de_qualité
Macédoine_(pays),41.9956,21.4311,,Article_de_qualité
Limoges,45.85,1.25,city,Article_de_qualité
Besançon,47.2431,6.02194,city,Article_de_qualité
Chambéry,45.57,5.9118,city,Article_de_qualité
Mur_de_Berlin,52.5192,13.3803,city,Article_de_qualité
Bibliothèque_nationale_de_France,48.8336,2.37583,landmark,Article_de_qualité
Denver,39.7392,-104.985,city,Article_de_qualité
Boston,42.3578,-71.0617,city,Article_de_qualité
Carcassonne,43.2131,2.35203,city,Article_de_qualité
Brucourt,49.2464,-0.0992,city,Article_de_qualité
Châlus,45.6558,0.981389,city,Article_de_qualité
Danube,48.0956,8.155,landmark,Article_de_qualité
Vitry-le-François,48.7256,4.58528,city,Article_de_qualité
Mons,50.45,3.95,city,Article_de_qualité
Bibracte,46.9244,4.035,landmark,Article_de_qualité
Casa_Milà,41.3954,2.1619,,Article_de_qualité
Aix-les-Bains,45.6884,5.91528,city,Article_de_qualité
Belgrade,44.8,20.467,,Article_de_qualité
Empire_State_Building,40.7484,-73.9858,,Article_de_qualité
Golden_Gate_Bridge,37.8197,-122.479,landmark,Article_de_qualité
Périgueux,45.184,0.715783,city,Article_de_qualité
Warner_Bros.,34.1492,-118.338,landmark,Article_de_qualité
Canal_de_Panama,9.08,-79.68,landmark,Article_de_qualité
Titanic,41.7319,-49.9458,,Article_de_qualité
Evere,50.8859,4.40295,landmark,Article_de_qualité
Attaque_de_Pearl_Harbor,21.3667,-157.95,landmark,Article_de_qualité
Motoneige,83.0797,-74.1381,,Article_de_qualité
Antony,48.7539,2.2975,city,Article_de_qualité
Le_Touquet-Paris-Plage,50.5186,1.595,city,Article_de_qualité
Égine,37.75,23.4333,isle,Article_de_qualité
Amphipolis,40.82,23.85,city,Article_de_qualité
Massif_du_Vercors,44.9667,5.41667,mountain,Article_de_qualité
Ninive,36.3597,43.1526,landmark,Article_de_qualité
Massacre_de_Katyń,54.767,31.783,,Article_de_qualité
Roissy-en-France,49.0,2.5167,city,Article_de_qualité
